experiment,item,object,version,condition,setting,critical,central_word,distinguishing_word,notes,key inference,critical_masked,full_masked,bert_mask_all_mean,bert_mask_one_mean,bert_mask_all_sum,bert_mask_one_sum,roberta_mask_all_mean,roberta_mask_one_mean,roberta_mask_all_sum,roberta_mask_one_sum,bert_nsp,cd_cosine_bert_ln2,sc_cosine_bert_ln2
1,1,-,a,afforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his laptop computer to use to protect himself.,protect,laptop computer,Might be missing content from setting,"laptop heavy, rigid, and can be picked up",Brad grabbed his [MASK] to use to protect himself.,Brad was sitting in his office when an intruder threatened him with a knife.  Brad grabbed his [MASK] to use to protect himself.,13.255152596350039,2.743432322722401,26.510305192700077,16.49781876946862,21.481556127144646,5.499272923156207,64.4446683814339,16.49781876946862,0.9987000226974488,0.615988701581955,0.23980700969696045
1,1,-,b,nonafforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his paper napkin to use to protect himself.,protect,paper napkin,,"napkin soft, light",Brad grabbed his [MASK] to use to protect himself.,Brad was sitting in his office when an intruder threatened him with a knife.  Brad grabbed his [MASK] to use to protect himself.,12.574906250357142,5.434891820129484,25.149812500714283,27.69944684878875,23.08912677259264,9.233148949596247,69.26738031777792,27.69944684878875,0.9977648258209229,0.5248780250549316,0.289883553981781
1,1,-,c,related,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his hunting rifle to use to protect himself.,protect,hunting rifle,,function of hunting rifle,Brad grabbed his [MASK] to use to protect himself.,Brad was sitting in his office when an intruder threatened him with a knife.  Brad grabbed his [MASK] to use to protect himself.,15.129514388242695,5.062575333396175,30.259028776485394,32.44670403408647,24.044194121519322,10.81556801136216,72.13258236455795,32.44670403408647,0.997475802898407,0.4824327826499939,0.2860514521598816
1,2,-,a,nonafforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a nickel that she found in her pocket.",pointed out,nickel,,"nickel small, shiny, not linear","At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.","Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.",25.435594588967906,25.435594588967906,25.435594588967906,38.60042616392092,34.23267847357219,19.300213081960454,68.4653569471444,38.60042616392092,0.9970638155937196,0.5390911996364594,0.1460934281349182
1,2,-,b,afforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a pen that she found in her pocket.",pointed out,pen,,pen linear,"At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.","Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.",6.783693270973793,6.783693270973793,6.783693270973793,37.04883544226568,37.04883544226568,37.04883544226568,37.04883544226568,37.04883544226568,0.9972044825553894,0.5291011333465576,0.15186917781829834
1,2,-,c,related,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a string that she found in her pocket.",pointed out,string,,string linear or can curve,"At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.","Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.",12.581911957111494,12.581911957111494,12.581911957111494,35.6183735202858,35.6183735202858,35.6183735202858,35.6183735202858,35.6183735202858,0.9967976212501526,0.42777466773986816,0.15662044286727905
1,3,-,a,related,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old magazines that his guests could use as coasters.",coasters,old magazines,,"coasters repel water, magazines absorb water","In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.","Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.",11.900527823600239,9.018623689452,23.801055647200478,27.21771532456017,17.915556969919148,13.608857662280085,35.831113939838296,27.21771532456017,0.9981642365455629,0.512872040271759,0.16448700428009033
1,3,-,b,afforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of floppy disks that his guests could use as coasters.",coasters,floppy disks,,"coasters round, disks round, cups round","In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.","Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.",22.118666604054813,4.675511793926988,44.237333208109625,24.218676154141914,22.34157739786253,8.072892051380638,67.0247321935876,24.218676154141914,0.9960768818855286,0.4504315257072449,0.1818782091140747
1,3,-,c,nonafforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old pencils that his guests could use as coasters.",coasters,pencils,,"pencils linear, cups round, pencils don't repel water","In desperation, he grabbed a bunch of old [MASK] that his guests could use as coasters.","Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of old [MASK] that his guests could use as coasters.",18.392989610197613,12.510465685810804,36.78597922039523,29.99709316488565,20.06291396765245,9.999031054961883,60.18874190295736,29.99709316488565,0.9970236420631408,0.3162991404533386,0.16916930675506592
1,4,-,a,related,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a ski-mask to cover his face.",face,ski-mask,,"ski-mask function, ski-mask shape","Being clever, he walked into a store and bought a [MASK] to cover his face.","Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a [MASK] to cover his face.",11.654046071858994,0.7576494737936741,34.962138215576985,34.5235903918941,23.72731946767281,11.507863463964705,71.18195840301846,34.5235903918941,0.9991138577461244,0.43646329641342163,0.16484063863754272
1,4,-,b,nonafforded,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a matchbook to cover his face.",face,matchbook,,matchbook size,"Being clever, he walked into a store and bought a [MASK] to cover his face.","Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a [MASK] to cover his face.",23.13720783599869,7.743953403625053,46.274415671997396,45.295660197274024,32.953195556789645,22.647830098637012,65.90639111357929,45.295660197274024,0.9991055130958556,0.5243788957595825,0.16806888580322266
1,4,-,c,afforded,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a newspaper to cover his face.",face,newspaper,,"newspaper size, newspaper insulating properties","Being clever, he walked into a store and bought a [MASK] to cover his face.","Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a [MASK] to cover his face.",19.370082768738946,19.370082768738946,19.370082768738946,58.304475973571684,25.007762717942448,19.43482532452389,75.02328815382737,58.304475973571684,0.9988968372344972,0.5471795797348022,0.16668319702148438
1,5,-,a,nonafforded,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the cookie jar.,hid,cookie jar,,"size cookie jar, size boy",David closed his eyes and counted to ten while Duncan hid in the [MASK] .,"David was playing hide and seek with his son, Duncan.  David closed his eyes and counted to ten while Duncan hid in the [MASK] .",18.863975055493874,2.2851594325613083,37.72795011098775,32.68063672363546,32.477727290704806,16.34031836181773,64.95545458140964,32.68063672363546,0.998487949371338,0.4565137028694153,0.2780643105506897
1,5,-,b,afforded,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the clothes dryer.,hid,clothes dryer,,"amount of air in clothes dryer, size of clothes dryer",David closed his eyes and counted to ten while Duncan hid in the [MASK] .,"David was playing hide and seek with his son, Duncan.  David closed his eyes and counted to ten while Duncan hid in the [MASK] .",19.401719976091254,7.815668928185889,58.20515992827375,34.55991504176848,23.70605614198989,8.63997876044212,94.82422456795956,34.55991504176848,0.9988251328468324,0.559731662273407,0.30211031436920166
1,5,-,c,related,"David was playing hide and seek with his son, Duncan. ",David closed his eyes and counted to ten while Duncan hid in the broom closet.,hid,broom closet,,"places boys hide, size broom closet",David closed his eyes and counted to ten while Duncan hid in the [MASK] .,"David was playing hide and seek with his son, Duncan.  David closed his eyes and counted to ten while Duncan hid in the [MASK] .",12.047213194807973,3.2267503940120044,24.09442638961595,43.95462608310718,18.647529055684675,14.65154202770239,55.94258716705402,43.95462608310718,0.9983894824981691,0.5089625716209412,0.29037731885910034
1,6,-,a,afforded,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a tractor to finish painting the wall.,stand,tractor,,,Bill decided to stand on a [MASK] to finish painting the wall.,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor. Bill decided to stand on a [MASK] to finish painting the wall.",20.248110064225195,20.248110064225195,20.248110064225195,46.5640068840399,24.099493305011233,23.28200344201995,48.198986610022466,46.5640068840399,0.9989416003227234,0.5048899352550507,0.15243321657180786
1,6,-,b,related,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a chair to finish painting the wall.,stand,chair,,,Bill decided to stand on a [MASK] to finish painting the wall.,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor. Bill decided to stand on a [MASK] to finish painting the wall.",7.3055460717409275,7.3055460717409275,7.3055460717409275,34.13091890942093,34.13091890942093,34.13091890942093,34.13091890942093,34.13091890942093,0.9990905523300172,0.40822315216064453,0.18403595685958862
1,6,-,c,nonafforded,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor.",Bill decided to stand on a hammer to finish painting the wall.,stand,hammer,,,Bill decided to stand on a [MASK] to finish painting the wall.,"Bill was working on painting his barn.  He reached most of it from the ground, but part of the wall was too high to reach without a ladder.  Unfortunately, he had lent his ladder to a neighbor. Bill decided to stand on a [MASK] to finish painting the wall.",22.48419593628498,22.48419593628498,22.48419593628498,37.471271856653146,37.471271856653146,37.471271856653146,37.471271856653146,37.471271856653146,0.9990637898445128,0.4816754460334778,0.14650052785873413
1,7,-,a,afforded,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a map and used it to fan the fire.,fan,map,,,Phil grabbed a [MASK] and used it to fan the fire.,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well. Phil grabbed a [MASK] and used it to fan the fire.",18.541079932186946,18.541079932186946,18.541079932186946,41.773519738941324,41.773519738941324,41.773519738941324,41.773519738941324,41.773519738941324,0.9993879795074464,0.5925828218460083,0.19606667757034302
1,7,-,b,nonafforded,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a rock and used it to fan the fire.,fan,rock,,,Phil grabbed a [MASK] and used it to fan the fire.,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well. Phil grabbed a [MASK] and used it to fan the fire.",12.252853663132115,12.252853663132115,12.252853663132115,31.5912648254081,31.5912648254081,31.5912648254081,31.5912648254081,31.5912648254081,0.999419093132019,0.43928325176239014,0.18917274475097656
1,7,-,c,related,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well.",Phil grabbed a bellows and used it to fan the fire.,fan,bellows,,,Phil grabbed a [MASK] and used it to fan the fire.,"Phil was trying to get a barbecue going early in the morning for a tailgater.  He got dizzy from blowing on the coals, but they still weren’t burning well. Phil grabbed a [MASK] and used it to fan the fire.",28.881986659130977,7.5681548422194735,57.763973318261954,29.836346851757263,28.03380379744676,14.918173425878631,56.06760759489352,29.836346851757263,0.9993789196014404,0.3662717342376709,0.1820806860923767
1,8,-,a,nonafforded,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a large refrigerator to play with.,play,large refrigerator,,,She gave him a [MASK] to play with.,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him. She gave him a [MASK] to play with.",17.805215694566886,11.138881146628965,35.61043138913377,50.08390286175486,27.4324626909849,25.04195143087743,54.8649253819698,50.08390286175486,0.9991931319236756,0.4584943652153015,0.21230477094650269
1,8,-,b,related,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a red beanbag to play with.,play,red beanbag,,,She gave him a [MASK] to play with.,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him. She gave him a [MASK] to play with.",17.537064729907456,7.607072786818775,52.61119418972237,46.35144652613732,25.77479618911573,15.450482175379102,77.3243885673472,46.35144652613732,0.9989450573921204,0.35454052686691284,0.2179432511329651
1,8,-,c,afforded,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him.",She gave him a plastic spoon to play with.,play,plastic spoon,,,She gave him a [MASK] to play with.,"Peggy was babysitting her infant nephew while she cooked dinner.  He was being fussy, but she had few toys to occupy him. She gave him a [MASK] to play with.",15.24596287928501,7.958444211607696,30.49192575857002,27.36821293601859,22.851566312019845,9.122737645339527,68.55469893605954,27.36821293601859,0.9989627599716188,0.38667720556259155,0.22828930616378784
1,9,-,a,nonafforded,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the electric outlet as a coat rack.,coat rack,electric outlet,,,Joe used the [MASK] as a coat rack.,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used the [MASK] as a coat rack.",19.319999552923075,13.122252091042947,38.63999910584615,37.414984954848755,27.81120323008572,18.70749247742437,55.62240646017143,37.414984954848755,0.9971088767051696,0.4731104373931885,0.20220106840133667
1,9,-,b,afforded,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the vacuum cleaner as a coat rack.,coat rack,vacuum cleaner,,,Joe used the [MASK] as a coat rack.,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used the [MASK] as a coat rack.",19.661656662040826,0.35636464968578496,39.32331332408165,12.659882096241825,25.642987210994512,3.164970524060456,102.57194884397805,12.659882096241825,0.9969184398651124,0.38304418325424194,0.2005634903907776
1,9,-,c,related,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat.",Joe used the door knob as a coat rack.,coat rack,door knob,,,Joe used the [MASK] as a coat rack.,"Joe’s roommates had taken all of the space in the closet, and there was no place to hang his coat. Joe used the [MASK] as a coat rack.",14.978050442195153,8.615054822769308,29.956100884390306,29.91096948033497,25.32730615268452,14.955484740167485,50.65461230536904,29.91096948033497,0.9957755208015442,0.39430540800094604,0.21724039316177368
1,10,-,a,related,"Jonathan opened up his car's trunk, but the ice scraper wasn't there.",Jonathan pulled out of his golf bag a screw driver and used that to chisel an inch of ice off his windshield.,chisel,screw driver,,,Jonathan pulled out of his golf bag a [MASK] and used that to chisel an inch of ice off his windshield.,"Jonathan opened up his car's trunk, but the ice scraper wasn't there. Jonathan pulled out of his golf bag a [MASK] and used that to chisel an inch of ice off his windshield.",23.25653545637064,18.78385631851929,46.51307091274128,47.515976258279885,24.19167813693747,15.838658752759965,72.57503441081242,47.515976258279885,0.9971524477005004,0.3314499855041504,0.21209615468978882
