experiment,item,object,version,condition,setting,critical,central_word,distinguishing_word,notes,key inference,critical_masked,full_masked
1,1,-,a,afforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his laptop computer to use to protect himself.,protect,laptop computer,Might be missing content from setting,"laptop heavy, rigid, and can be picked up",Brad grabbed his [MASK] to use to protect himself.,Brad was sitting in his office when an intruder threatened him with a knife.  Brad grabbed his [MASK] to use to protect himself.
1,1,-,b,nonafforded,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his paper napkin to use to protect himself.,protect,paper napkin,,"napkin soft, light",Brad grabbed his [MASK] to use to protect himself.,Brad was sitting in his office when an intruder threatened him with a knife.  Brad grabbed his [MASK] to use to protect himself.
1,1,-,c,related,Brad was sitting in his office when an intruder threatened him with a knife. ,Brad grabbed his hunting rifle to use to protect himself.,protect,hunting rifle,,function of hunting rifle,Brad grabbed his [MASK] to use to protect himself.,Brad was sitting in his office when an intruder threatened him with a knife.  Brad grabbed his [MASK] to use to protect himself.
1,2,-,a,nonafforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a nickel that she found in her pocket.",pointed out,nickel,,"nickel small, shiny, not linear","At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.","Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket."
1,2,-,b,afforded,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a pen that she found in her pocket.",pointed out,pen,,pen linear,"At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.","Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket."
1,2,-,c,related,Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up.,"At the first intersection, Jenny pointed out the direction she turned by using a string that she found in her pocket.",pointed out,string,,string linear or can curve,"At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket.","Jenny started her hike in the woods before her friend Adam arrived.   She left him a note explaining that she would mark her choice of direction at each intersection of paths and that he should catch up. At the first intersection, Jenny pointed out the direction she turned by using a [MASK] that she found in her pocket."
1,3,-,a,related,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old magazines that his guests could use as coasters.",coasters,old magazines,,"coasters repel water, magazines absorb water","In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.","Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters."
1,3,-,b,afforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of floppy disks that his guests could use as coasters.",coasters,floppy disks,,"coasters round, disks round, cups round","In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters.","Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of [MASK] that his guests could use as coasters."
1,3,-,c,nonafforded,Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses.,"In desperation, he grabbed a bunch of old pencils that his guests could use as coasters.",coasters,pencils,,"pencils linear, cups round, pencils don't repel water","In desperation, he grabbed a bunch of old [MASK] that his guests could use as coasters.","Art was having guests over for a cocktail party to show off his new furniture.   At the last moment he realized that he didn’t have enough coasters to protect the table tops from condensation dripping off the glasses. In desperation, he grabbed a bunch of old [MASK] that his guests could use as coasters."
1,4,-,a,related,"Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf.","Being clever, he walked into a store and bought a ski-mask to cover his face.",face,ski-mask,,"ski-mask function, ski-mask shape","Being clever, he walked into a store and bought a [MASK] to cover his face.","Mike was freezing while walking up State Street into a brisk wind.  He knew that he had to get his face covered pretty soon or he would get frostbite.  Unfortunately, he didn’t have enough money to buy a scarf. Being clever, he walked into a store and bought a [MASK] to cover his face."
